type,name,primary_domain,keywords_en,keywords_nl,triggers_used_for_auto_tagging
domain,consent,consent,consent ; informed consent ; permission ; data use ; contact permission ; commercial use,toestemming ; geinformeerde toestemming ; akkoord ; toestemming contact ; toestemming data gebruik ; toestemming commercieel gebruik,consent ; toestemming ; informed consent ; pi statement ; datause ; commercial
domain,demographics,demographics,demographics ; age ; sex ; gender ; country ; ethnicity ; education ; employment ; marital status,demografie ; leeftijd ; geslacht ; gender ; land ; etniciteit ; opleiding ; werk ; burgerlijke staat,demograf ; nederland en leeftijd ; age ; leeftijd ; sex ; geslacht ; gender ; education ; opleiding ; ethnic ; etnic
domain,lifestyle,lifestyle,lifestyle ; smoking ; alcohol ; caffeine ; diet ; nutrition ; exercise ; physical activity,levensstijl ; roken ; alcohol ; cafeine ; voeding ; voedingspatroon ; beweging ; lichamelijke activiteit,levensstijl ; lifestyle ; smoking ; roken ; alcohol ; caffeine ; cafeine ; diet ; voeding ; nutrition ; exercise ; physical activity ; dfl ffq ; ffq
domain,medical_history,medical_history,medical history ; health history ; diagnosis ; chronic disease ; illness ; condition ; comorbidity,medische geschiedenis ; gezondheidsgeschiedenis ; diagnose ; chronische ziekte ; aandoening ; comorbiditeit,medische geschiedenis ; gezondheidsgeschiedenis ; health history ; medical history ; diagnos ; aandoening ; ziekte ; illness ; chronic
domain,family_history,family_history,family history ; family health history ; heredity ; biological family,familiegeschiedenis ; familie gezondheidsgeschiedenis ; erfelijkheid ; biologische familie,familiegeschiedenis ; family history ; biologische familie ; biological family ; erf
domain,medication_supplements,medication_supplements,medication ; drug use ; supplements ; dosage ; prescription ; treatment,medicatie ; geneesmiddelen ; voedingssupplementen ; dosering ; recept ; behandeling,medicatie ; medication ; medicine ; meds ; drug ; supplement ; voedingssupplement ; dosering ; antibiotica ; antiviral ; antidepress ; painkiller ; sleepmed ; medicijnen ; geneesmiddelen ; supplementen ; antidepressiva ; antivirale ; hormonen ; medication use ; medicatiegebruik
domain,symptoms_general,symptoms_general,symptoms ; frequency ; severity ; symptom burden,symptomen ; frequentie ; ernst ; klachtenlast,symptomen ; symptoms ; frequency ; frequentie ; severity ; ernst ; dsq ; symptom burden
domain,fatigue,fatigue,fatigue ; fatigue severity ; tiredness ; energy ; exhaustion ; post-exertional malaise ; post-exertional symptoms,vermoeidheid ; ernstige vermoeidheid ; moeheid ; energie ; uitputting ; postexertionele malaise ; inspanningsintolerantie,fatigue ; vermoeidheid ; moeheid ; exhaust ; energy ; energie ; cis ; fss ; fatigue severity scale ; checklist for individual strength ; post exertional ; inspanning ; exercise intolerance ; pem
domain,mobility_function,mobility_function,mobility ; physical functioning ; function ; activities of daily living ; walking ; ambulation ; performance status ; daily activities,mobiliteit ; lichamelijk functioneren ; functie ; dagelijkse activiteiten ; lopen ; ambulantie ; performantie status ; alledaagse activiteiten,mobiliteit ; mobility ; bell ; karnofsky ; walk ; walking ; ambulatory ; ambulation ; daily activities ; activiteiten ; physical function ; functioning
domain,quality_of_life,quality_of_life,quality of life ; health-related quality of life ; sf-36 ; rand-36 ; general health ; social functioning,kwaliteit van leven ; gezondheidsgerelateerde kwaliteit van leven ; sf-36 ; rand-36 ; algemene gezondheid ; sociaal functioneren,quality of life ; kwaliteit van leven ; rand36 ; sf36 ; sf 36 ; rand 36 ; general health ; social functioning ; hoe gaat het met u ; rand36 survey ; rand sf 36
domain,pain,pain,pain ; pain severity ; pain interference ; headache ; muscle pain ; pain detect,pijn ; pijn ernst ; pijn interferentie ; hoofdpijn ; spierpijn ; pijndetectie,pain ; pijn ; bpi ; paindetect ; hoofdpijn ; muscle pain ; body pain ; analoge schalen ; brief pain inventory
domain,sleep,sleep,sleep ; sleep quality ; sleepiness ; insomnia ; sleep duration ; epworth ; psqi,slaap ; slaapkwaliteit ; slaperigheid ; insomnie ; slaapduur ; epworth ; psqi,sleep ; slaap ; slapen ; sleepiness ; slaperigheid ; psqi ; pittsburgh ; epworth ; insomnia
domain,mental_health,mental_health,mental health ; depression ; mood ; anxiety ; interest ; feeling down ; phq,mentale gezondheid ; depressie ; stemming ; angst ; interesseverlies ; somber ; phq,mental health ; depress ; mood ; anxiety ; somber ; phq ; interesse ; plezier in activiteiten
domain,cognition,cognition,cognition ; concentration ; attention ; memory ; thinking,cognitie ; concentratie ; aandacht ; geheugen ; denken,cognition ; cognit ; concentrat ; aandacht ; attention ; memory ; geheugen ; denken ; brain fog
domain,gastrointestinal,gastrointestinal,gastrointestinal ; stomach ; bowel ; abdominal ; ibs ; rome iv ; gsrs ; stool,maag-darm ; maag ; darm ; buik ; prikkelbare darm ; rome iv ; gsrs ; ontlasting,gastro ; stomach ; bowel ; abdominal ; maag ; darm ; buik ; rome iv ; gsrs ; bristol stool ; ontlasting ; stoelgang
domain,autonomic_orthostatic,autonomic_orthostatic,autonomic ; orthostatic intolerance ; compass-31 ; lean test ; standing test ; dizziness ; palpitations,autonoom ; orthostatische intolerantie ; compass-31 ; kanteltafelachtig ; sta test ; duizeligheid ; hartkloppingen,compass ; lean test ; nasa ; orthostatic ; orthostatisch ; dizziness ; duizelig ; palpitation ; hartklopp ; standing
domain,anthropometrics,anthropometrics,anthropometrics ; height ; weight ; bmi ; body composition ; waist circumference ; tanita,antropometrie ; lengte ; gewicht ; bmi ; lichaamssamenstelling ; middelomtrek ; tanita,anthropometric ; antropometr ; height ; weight ; gewicht ; lengte ; bmi ; tanita ; body composition
domain,handgrip_strength,handgrip_strength,handgrip strength ; grip strength ; muscle strength,handknijpkracht ; grijpkracht ; spierkracht,handgrip ; hand grip ; handknijp ; grip strength
domain,vitals,vitals,vital signs ; blood pressure ; heart rate ; pulse ; oxygen saturation ; oximetry,vitale functies ; bloeddruk ; hartslag ; pols ; zuurstofsaturatie ; oximetrie,blood pressure ; bloeddruk ; omron ; nellcor ; oximetry ; oxygen saturation ; saturation ; heart rate ; hartslag ; pulse ; pols
domain,biospecimens,biospecimens,biospecimens ; blood draw ; blood sample ; urine sample ; collection,biomaterialen ; bloedafname ; bloedmonster ; urinemonster ; verzameling,blood draw ; bloedafname ; blood sample ; bloedmonster ; urine monster ; urine sample ; sample ; monster
domain,nutrition,nutrition,nutrition ; diet ; fiber intake ; food habits ; ffq,voeding ; dieet ; vezelinname ; voedselgewoontes ; ffq,nutrition ; diet ; fiber ; vezel ; ffq ; food habits ; voedselgewoontes
domain,administration,administration,administration ; screening end ; study end ; protocol deviation ; scheduling,administratie ; einde screening ; einde studie ; protocol afwijking ; planning,administratie ; screening end ; einde screening ; einde studie ; end of study ; protocol afwijk ; administration
instrument,FSS,fatigue,Fatigue Severity Scale ; fatigue severity ; fatigue questionnaire,Fatigue Severity Scale ; vermoeidheid ernst schaal ; vermoeidheidsvragenlijst,FSS
instrument,CIS,fatigue,Checklist Individual Strength ; fatigue ; concentration ; motivation ; activity level,Checklist Individual Strength ; vermoeidheid ; concentratie ; motivatie ; activiteitenniveau,CIS
instrument,BPI,pain,Brief Pain Inventory ; pain severity ; pain interference,Korte Pijn Inventarisatie ; pijn ernst ; pijn interferentie,BPI
instrument,PSQI,sleep,Pittsburgh Sleep Quality Index ; sleep quality ; sleep disturbance,Pittsburgh Sleep Quality Index ; slaapkwaliteit ; slaapverstoring,PSQI
instrument,PHQ,mental_health,Patient Health Questionnaire ; depression ; mood,Patient Health Questionnaire ; depressie ; stemming,PHQ
instrument,PHQ-2,mental_health,Patient Health Questionnaire 2 ; depression screener ; mood,Patient Health Questionnaire 2 ; depressie screener ; stemming,PHQ-2
instrument,DSQ-SF,symptoms_general,DePaul Symptom Questionnaire ; symptoms ; fatigue ; post-exertional malaise,DePaul Symptoomvragenlijst ; symptomen ; vermoeidheid ; postexertionele malaise,DSQ-SF
instrument,Karnofsky,mobility_function,Karnofsky Performance Scale ; mobility ; functional status ; performance status,Karnofsky Performance Scale ; mobiliteit ; functionele status ; performantie status,Karnofsky
instrument,Beighton Score,anthropometrics,Beighton Score ; joint hypermobility ; connective tissue,Beighton Score ; gewrichtshypermobiliteit ; bindweefsel,Beighton Score
instrument,Handgrip Strength,handgrip_strength,handgrip strength ; grip strength ; muscle strength,handknijpkracht ; grijpkracht ; spierkracht,Handgrip Strength
instrument,Oximetry,vitals,oximetry ; oxygen saturation ; pulse,oximetrie ; zuurstofsaturatie ; pols,Oximetry
instrument,Blood Pressure,vitals,blood pressure ; systolic ; diastolic,bloeddruk ; systolisch ; diastolisch,Blood Pressure
instrument,Anthropometric Measurements,anthropometrics,anthropometric measurements ; height ; weight ; body composition,antropometrische metingen ; lengte ; gewicht ; lichaamssamenstelling,Anthropometric Measurements
