sheet,section,variable_name,label,field_type,values,value_label,instrument,search_text
1.Consent,Toestemming,consent_consent,Ik wil meedoen aan dit onderzoek (u kunt alleen meedoen als u alle vakjes aan vinkt),checkbox,"1,
2,
3,
4","Ik heb de informatiebrief met de uitleg over dit onderzoek gelezen.,
Ik weet dat meedoen vrijwillig is. Ook weet ik dat ik op ieder moment kan beslissen om toch niet mee te doen of te stoppen met het onderzoek. Ik meld dat aan de onderzoekers, maar ik hoef geen reden te geven.,
Ik geef toestemming voor het verzamelen en gebruiken van mijn gegevens op de manier en voor de doelen die in de informatiebrief staan.,
Ik geef toestemming om mijn gegevens nog 10 jaar na dit onderzoek te bewaren in het Amsterdam UMC.",,"1.Consent | Toestemming |  | consent_consent | Ik wil meedoen aan dit onderzoek (u kunt alleen meedoen als u alle vakjes aan vinkt) | checkbox | 1,
2,
3,
4 | Ik heb de informatiebrief met de uitleg over dit onderzoek gelezen.,
Ik weet dat meedoen vrijwillig is. Ook weet ik dat ik op ieder moment kan beslissen om toch niet mee te doen of te stoppen met het onderzoek. Ik meld dat aan de onderzoekers, maar ik hoef geen reden te geven.,
Ik geef toestemming voor het verzamelen en gebruiken van mijn gegevens op de manier en voor de doelen die in de informatiebrief staan.,
Ik geef toestemming om mijn gegevens nog 10 jaar na dit onderzoek te bewaren in het Amsterdam UMC."
1.Consent,Toestemming,calcconsent01,Consent calculation 01,calculation,,,,1.Consent | Toestemming |  | calcconsent01 | Consent calculation 01 | calculation |  | 
1.Consent,Toestemming,consent_datause,"Mogen wij u na het invullen van deze vragenlijst opnieuw benaderen voor biomedisch vervolgonderzoek binnen NMCB (dat wil zeggen, het onderzoek waarvoor u deze vragenlijst invult)?",radio,"0,
1","Nee, ik geef geen toestemming om mij opnieuw te benaderen voor biomedisch vervolgonderzoek binnen NMCB.,
Ja, ik geef toestemming om mij opnieuw te benaderen voor biomedisch vervolgonderzoek binnen NMCB. De gegevens die verzameld zijn in dit vragenlijst onderzoek mogen dan gebruikt worden in het biomedisch vervolgonderzoek van NMCB.",,"1.Consent | Toestemming |  | consent_datause | Mogen wij u na het invullen van deze vragenlijst opnieuw benaderen voor biomedisch vervolgonderzoek binnen NMCB (dat wil zeggen, het onderzoek waarvoor u deze vragenlijst invult)? | radio | 0,
1 | Nee, ik geef geen toestemming om mij opnieuw te benaderen voor biomedisch vervolgonderzoek binnen NMCB.,
Ja, ik geef toestemming om mij opnieuw te benaderen voor biomedisch vervolgonderzoek binnen NMCB. De gegevens die verzameld zijn in dit vragenlijst onderzoek mogen dan gebruikt worden in het biomedisch vervolgonderzoek van NMCB."
1.Consent,Toestemming,consent_contact,Mogen wij u na dit onderzoek opnieuw benaderen voor ander vervolgonderzoek?,radio,"0,
1","Nee, ik geef geen toestemming om mij opnieuw te benaderen voor ander vervolgonderzoek.,
Ja, ik geef toestemming om mij opnieuw te benaderen voor ander vervolgonderzoek. De gegevens die verzameld zijn in dit vragenlijst onderzoek mogen dan gebruikt worden in dat vervolgonderzoek als ik daaraan deelneem.",,"1.Consent | Toestemming |  | consent_contact | Mogen wij u na dit onderzoek opnieuw benaderen voor ander vervolgonderzoek? | radio | 0,
1 | Nee, ik geef geen toestemming om mij opnieuw te benaderen voor ander vervolgonderzoek.,
Ja, ik geef toestemming om mij opnieuw te benaderen voor ander vervolgonderzoek. De gegevens die verzameld zijn in dit vragenlijst onderzoek mogen dan gebruikt worden in dat vervolgonderzoek als ik daaraan deelneem."
1.Consent,Toestemming,date_consent_screening,Datum van toestemming,date,,,,1.Consent | Toestemming |  | date_consent_screening | Datum van toestemming | date |  | 
1.Consent,Toestemming,calcconsent,If consent criteria is met?,calculation,,,,1.Consent | Toestemming |  | calcconsent | If consent criteria is met? | calculation |  | 
1.Consent,Toestemming,consent_inclusion,Toestemmingscriteria voldaan?,calculation,,,,1.Consent | Toestemming |  | consent_inclusion | Toestemmingscriteria voldaan? | calculation |  | 
1.Consent,Toestemming,consent_confirm,Volgens uw antwoorden stemt u niet in met deelname aan dit onderzoek. Kunt u alstublieft bevestigen dat dit klopt?,radio,"0,
1","Dat klopt, ik stem NIET in met deelname.,
Dat klopt niet, ik stem WEL in met deelname.",,"1.Consent | Toestemming |  | consent_confirm | Volgens uw antwoorden stemt u niet in met deelname aan dit onderzoek. Kunt u alstublieft bevestigen dat dit klopt? | radio | 0,
1 | Dat klopt, ik stem NIET in met deelname.,
Dat klopt niet, ik stem WEL in met deelname."
2.1. ME CFS Screening,Algemene medische geschiedenis,gmh_diagnosis01,Bent u ooit door een arts gediagnosticeerd met een van de volgende aandoeningen? U kunt meerdere antwoorden selecteren.,checkbox,"0,
1,
2,
3,
4,
5","Ik heb geen diagnose van een van de aandoeningen,
ME/CVS,
Multiple Sclerose,
Q-koorts of Q-koortsvermoeidheidssyndroom,
Ziekte van Lyme of post-behandelingssyndroom van de ziekte van Lyme,
Post/Long COVID",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | gmh_diagnosis01 | Bent u ooit door een arts gediagnosticeerd met een van de volgende aandoeningen? U kunt meerdere antwoorden selecteren. | checkbox | 0,
1,
2,
3,
4,
5 | Ik heb geen diagnose van een van de aandoeningen,
ME/CVS,
Multiple Sclerose,
Q-koorts of Q-koortsvermoeidheidssyndroom,
Ziekte van Lyme of post-behandelingssyndroom van de ziekte van Lyme,
Post/Long COVID"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_symptoms,"Heeft u in de periode na uw tekenbeet klachten ontwikkeld die passen bij de ziekte van Lyme? LET OP: deze vraag gaat over de vroege fases van de ziekte van Lyme, en niet over aanhoudende klachten na de ziekte van Lyme. (Meerdere antwoorden zijn mogelijk)",radio,"0,
1,
2","Nee, ik heb geen van bovenstaande klachten ontwikkeld.,
Ja, ik had een **uitbreidende rode ring of vlek op mijn huid (bekend als 'erythema migrans', zie afbeelding)**,
Ja, ik had een andere uiting van de ziekte van Lyme, zoals een griepachtig ziektebeeld, lokale zwelling/ontsteking (lymfocytoom, meestal op oorlel of tepel), specifieke neurologische klachten (neuroborreliose), een ontstoken gewricht (lyme-artritis), een ontstoken hartspier en/of ritmestoornis ((myo)carditis en/of blokkade), een langdurig ontstoken huid (acrodermatitis chronica atroficans).",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_symptoms | Heeft u in de periode na uw tekenbeet klachten ontwikkeld die passen bij de ziekte van Lyme? LET OP: deze vraag gaat over de vroege fases van de ziekte van Lyme, en niet over aanhoudende klachten na de ziekte van Lyme. (Meerdere antwoorden zijn mogelijk) | radio | 0,
1,
2 | Nee, ik heb geen van bovenstaande klachten ontwikkeld.,
Ja, ik had een **uitbreidende rode ring of vlek op mijn huid (bekend als 'erythema migrans', zie afbeelding)**,
Ja, ik had een andere uiting van de ziekte van Lyme, zoals een griepachtig ziektebeeld, lokale zwelling/ontsteking (lymfocytoom, meestal op oorlel of tepel), specifieke neurologische klachten (neuroborreliose), een ontstoken gewricht (lyme-artritis), een ontstoken hartspier en/of ritmestoornis ((myo)carditis en/of blokkade), een langdurig ontstoken huid (acrodermatitis chronica atroficans)."
